Band,BW,Tx_Freq,Chan,Tx_level,Measured_Power,E_-1,E_+1,U_-1,U_+1,U_-2,U_+2,EVM,Freq_Err,IQ_OFFSET,RB_num,RB_start,MCS,Type,Tx_Path,SCS(KHz),RB_STATE,Sync_Path,AS_SRS_Path,Current(mA),Condition,Temp0,Temp1,Voltage_mipi,FBRX power,MIPI read
48,100,3600000,ch0,26,23.84397,-43.74911,-43.90072,-57.18417,-57.0123,-57.46121,-57.35043,1.610196,-18.65017,-74.44868,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3625000,ch1,26,23.84135,-43.53209,-43.89393,-57.32902,-57.63067,-57.47392,-57.49879,1.596537,-8.176613,-72.78323,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3650000,ch2,26,23.78573,-43.72748,-43.85501,-57.65791,-57.51536,-57.58829,-57.49203,1.645638,6.309928,-76.12977,135,67,QPSK,DFTS,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,22.89594,-41.77194,-42.3262,-50.14873,-52.94638,-55.30195,-55.40696,1.718944,27.43235,-76.87878,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3625000,ch1,26,22.82104,-41.7999,-42.35857,-50.0573,-53.26517,-55.70522,-55.80917,1.702215,-21.31466,-76.87347,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3650000,ch2,26,22.86149,-41.92689,-42.36349,-50.06872,-53.52686,-55.9842,-56.12883,1.707713,17.11973,-74.27689,270,0,QPSK,DFTS,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,22.26217,-42.14675,-42.42277,-55.85068,-55.80881,-55.9831,-55.87278,2.084148,-13.26103,-73.66231,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3625000,ch1,26,22.35972,-42.23565,-42.63466,-56.07169,-56.03732,-56.23888,-56.11691,2.04233,1.047135,-71.12753,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3650000,ch2,26,22.27372,-42.15129,-42.48977,-56.21718,-55.96467,-56.14193,-56.15587,2.019143,21.47165,-72.94984,137,68,QPSK,CP,TX1,30,INNER_FULL,Main,,,HTLV,,,,,
48,100,3600000,ch0,26,20.85977,-40.14952,-40.24613,-49.21249,-49.7565,-53.37747,-52.8034,2.290034,17.47404,-69.75661,273,0,QPSK,CP,TX1,30,OUTER_FULL,Main,,,HTLV,,,,,
